Sl No,Rule ID,Rule Description,Coverage,Notes
1,RDFYXL,"In an RME system, any access by a requester and any instruction executed by a PE is associated with a single Security state.",Not covered,Broad architectural invariant; ACS validates observable access behavior in other tests.
2,RQDWVC,Association of a Resource with a Resource PAS is controlled by either SSD or MSD.,Not covered,Resource ownership control is SSD/MSD policy and implementation-specific.
3,RBJVZS,Resource accesses carry an Access PAS and MECID as required by the architecture.,"mec_support_mecid_and_mecid_width, rme_pas_filter_functionality",
4,RYXFMV,Requesters outside MMU/SMMU translation are SSD-tagged with an Access PAS.,Not covered,Requires DAP/debug-access support to generate and tag non-MMU/SMMU requests.
5,RSCDLL,"Once assigned, the value of an Access PAS cannot be altered.",Not covered,Access PAS tag mutation is internal behavior and not directly observable by ACS.
6,RYKVJK,A PAS filter enforces the PAS protection check by permitting access to a Resource only if the Access PAS matches a Resource PAS associated with that Resource.,rme_pas_filter_functionality,
7,RMZJXC,Every requester in the system is subjected to the PAS protection check.,rme_pcie_devices_support_gpc,
8,RWRGTF,Access to the Root PAS is only permitted for Trusted requesters.,Not covered,Trusted requester access policy is not generically observable by ACS.
9,RKGDVK,GPT-based PAS assignment requires a single PA per PAS and page-granular resources.,"rme_resources_aligned_to_granularity, rme_resources_are_not_physically_aliased",
10,RWJNMD,On-chip Resource GPC relies only on GPT storage with equivalent integrity and replay protection.,Not covered,"GPT storage location, integrity, and replay protection are implementation details."
11,RGQCQT,GPC-protected non-idempotent accesses are not speculatively performed before the check completes.,Not covered,Non-idempotent speculation behavior is not directly software-observable.
12,RGFGZM,"If a requester-side Granular PAS filter is in reset state, any requester that is associated with it is either in reset state or blocked from accessing memory.",rme_smmu_blocks_request_at_registers_reset,
13,RWFQKD,A PA that targets memory that can be cached is associated with a PAS until reaching the PoPA.,"rme_memory_associated_with_pas_till_popa, rme_snoop_filter_considers_pas",
14,RFRMJJ,"Where a PA is associated with a PAS, any PA compare operation includes the PAS.","rme_memory_associated_with_pas_till_popa, rme_snoop_filter_considers_pas",
15,RQBNJF,"A PoPA CMO affects all cached copies for the specified {PAS, PA}, independent of shareability domain or MECID.","mec_effect_of_popa_cmo, rme_cmo_popa_for_cacheability_shareability",
16,RTRBZM,An access to a cacheable memory Location is associated with a MECID until reaching the PoE.,mec_mecid_assosiation_and_encryption,
17,RKMNQX,"Memory accesses resulting from a cache Clean operation, due to cache maintenance operations and natural evictions, use the MECID that the entry was cached with.",mec_cmo_uses_correct_mecid,
18,RMLFBL,"External Secure, Realm, and Root memory is encrypted with distinct contexts and address tweaks.","mec_mecid_assosiation_and_encryption, rme_data_encryption_beyond_popa, rme_data_encryption_with_different_tweak",
19,RMYWVB,Data is encrypted before being written to external memory or to any shared cache that resides past the PoPA.,mec_mecid_assosiation_and_encryption,
20,RRQZBK,"Memory-mapped data structures that store encryption contexts must reside in SMEM in the Root PAS, such as MSD SMEM.",Not covered,MEC encryption-context storage is not generically discoverable by ACS.
21,RBNSQB,ECC-scrubbing engines beyond PoPA must not leak confidential information.,Not covered,ECC scrubber behavior depends on implementation-specific RAS logic.
22,RGDVSZ,A PA of an access to a memory-mapped peripheral is associated with a PAS until reaching the PAS filter assigned to protect the peripheral.,rme_pas_filter_functionality,
23,RDVPGT,A private PAS filter allows access to a register only if the Access PAS matches a Resource PAS that the register is associated with.,rme_pas_filter_functionality,
24,RRHBJN,Non-PE requesters use the permitted RME Security states.,Not covered,Non-PE requester security-state behavior is implementation-specific.
25,RMCMSH,"A fully coherent non-PE requester that is not part of the System Security Domain (SSD) will not observe coherency traffic for addresses in the Secure, Realm, or Root PAS.",Not covered,Generic ACS infrastructure does not support coherent-device traffic visibility.
26,RRGQRT,Programmable all-PAS completer filters keep controls in Root PAS and reset safely.,Not covered,Completer-side PAS filter controls are implementation-defined.
27,RGLLZY,Secure/Non-secure completer filters keep controls in Secure or Root PAS and reset safely.,Not covered,Completer-side PAS filter controls are implementation-defined.
28,RWBJJT,TSM functionality in RME-DA is implemented within RMSD.,Not covered,TSM/RMM software presence is outside hardware ACS scope.
29,RQRMPD,Realm-assigned TDI translated accesses are subject to DPT checks unless exempted.,"dpt_p2p_different_rootport_invalid, dpt_p2p_different_rootport_valid, dpt_p2p_same_rootport_invalid, dpt_p2p_same_rootport_valid, dpt_system_resource_invalid, dpt_system_resource_valid_with_dpti, dpt_system_resource_valid_without_dpti",
30,RPGSTQ,Measured integrated TDISP devices may skip DPT checks but not GPC.,"dpt_system_resource_valid_without_dpti, dpt_system_resource_valid_with_dpti, dpt_system_resource_invalid, dpt_p2p_same_rootport_valid, dpt_p2p_same_rootport_invalid, dpt_p2p_different_rootport_valid, dpt_p2p_different_rootport_invalid",
31,RSHRMN,RME-DA coherent links attach only permitted coherent devices and cover attestation-relevant logic.,Planned,
32,RNVWMC,"RME-CDA coherent devices support compliant TDI assignment, encryption, MEC, and coherency behavior.",Planned,
33,RQWNBN,A TDI in TDISP ERROR state poisons relevant Realm cached data and snoop responses.,Planned,
34,RLMFLX,"A TDI entering CONFIG_UNLOCKED invalidates device-held TDI state, cache copies, and ATC entries.",cda_rjzqcp_reset_transition,
35,RVPKVF,Required coherent-device operations are unaffected by TDI state.,Planned,
36,RWFYLW,Security-sensitive RME-CDA device registers are DSM-controlled or DSM-verified before lock.,Planned,
